t,pop,births,deaths,delivered,hof_best,gen
2.0,40,0,0,0,6.09,0
4.0,40,0,0,0,17.37,0
6.0,40,0,0,0,25.02,0
8.0,40,0,0,0,25.02,0
10.0,40,0,0,0,27.34,0
12.0,40,0,0,0,27.34,0
14.0,38,0,2,0,27.34,0
16.0,37,0,3,0,27.34,0
18.0,36,0,4,0,27.34,0
20.0,36,0,4,0,27.34,0
22.0,34,0,6,0,27.34,0
24.0,33,0,7,0,27.34,0
26.0,32,0,8,0,27.34,0
28.0,31,0,9,0,27.34,0
30.0,30,0,10,0,27.34,0
32.0,30,0,10,0,27.34,0
34.0,30,0,10,0,27.34,0
36.0,30,0,10,0,27.34,0
38.0,30,0,10,0,27.34,0
40.0,30,0,10,0,27.34,0
42.0,15,0,36,0,27.34,1
44.0,15,0,36,0,31.56,1
46.0,15,0,38,0,31.56,2
48.0,15,0,39,0,31.56,2
50.0,15,0,40,0,31.56,2
52.0,15,0,40,0,31.56,2
54.0,15,0,40,0,31.56,2
56.0,18,3,40,1,31.56,2
58.0,18,3,40,1,31.56,2
60.0,17,3,41,1,53.94,2
62.0,16,3,42,1,59.39,2
64.0,15,3,43,1,64.29,2
66.0,15,3,43,1,70.14,2
68.0,15,3,43,1,74.6,2
70.0,15,3,43,1,76.68,2
72.0,15,3,43,1,83.13,2
74.0,17,6,44,2,86.16,3
76.0,16,6,45,2,86.16,3
78.0,15,6,46,2,86.16,3
80.0,15,6,46,2,86.16,3
82.0,15,6,52,2,86.16,3
84.0,15,6,53,2,86.16,3
86.0,15,6,55,2,86.16,3
88.0,15,6,55,2,86.16,3
90.0,15,6,56,2,86.16,3
92.0,15,6,57,2,86.16,3
94.0,15,6,57,2,86.16,3
96.0,15,6,57,2,86.16,3
98.0,15,6,57,2,86.16,3
100.0,15,6,58,2,86.16,3
102.0,15,6,59,2,86.16,3
104.0,18,9,59,3,86.16,4
106.0,18,9,59,3,86.16,4
108.0,15,9,62,3,86.16,4
110.0,15,9,63,3,86.16,4
112.0,15,9,63,3,86.16,4
114.0,15,9,63,3,86.16,4
116.0,15,9,63,3,86.16,4
118.0,15,9,63,3,86.16,4
120.0,15,9,63,3,86.16,4
122.0,15,9,66,3,86.16,4
124.0,17,12,67,4,86.16,4
126.0,15,12,69,4,86.16,4
128.0,18,15,69,5,86.16,5
130.0,18,15,69,5,86.16,5
132.0,18,15,69,5,86.16,5
134.0,23,21,70,7,86.16,5
136.0,21,21,72,7,93.76,5
138.0,20,21,73,7,99.8,5
140.0,21,24,75,8,99.8,6
142.0,24,27,75,9,100.24,6
144.0,23,27,76,9,101.68,6
146.0,33,39,78,13,114.0,7
148.0,35,42,79,14,114.91,7
150.0,38,45,79,15,128.28,7
152.0,41,48,79,16,128.28,7
154.0,47,54,79,18,128.28,7
156.0,50,57,79,19,128.28,7
158.0,52,60,80,20,128.28,7
160.0,57,66,81,22,128.28,7
162.0,68,78,82,26,146.29,7
164.0,70,81,83,27,147.38,7
166.0,79,90,83,30,148.62,8
168.0,79,92,85,35,148.76,8
170.0,80,94,86,37,148.76,8
172.0,80,94,86,41,148.76,9
174.0,78,94,88,44,156.6,9
176.0,80,97,89,49,162.12,9
178.0,80,98,90,51,162.12,9
180.0,80,98,90,52,162.12,9
182.0,80,100,92,56,162.12,9
184.0,80,101,93,62,171.3,9
186.0,80,102,94,65,194.89,9
188.0,80,104,96,68,196.41,9
190.0,80,106,98,71,196.47,9
192.0,79,107,100,75,196.47,9
194.0,79,112,105,79,196.47,9
196.0,79,115,108,82,209.31,9
198.0,80,117,109,85,210.16,9
200.0,80,119,111,89,212.76,9
202.0,80,124,116,95,214.93,9
204.0,80,124,116,97,216.46,9
206.0,77,124,119,97,216.49,9
208.0,80,128,120,100,216.68,9
210.0,79,130,123,104,216.95,10
212.0,79,134,127,106,216.95,10
214.0,80,136,128,108,216.95,10
216.0,79,140,133,111,216.95,10
218.0,80,143,135,113,216.95,10
220.0,80,145,137,117,216.95,10
222.0,80,146,138,124,231.82,10
224.0,80,146,138,126,236.77,10
226.0,80,148,140,130,241.07,10
228.0,80,148,140,135,242.97,10
230.0,80,150,142,139,267.14,10
232.0,78,150,144,141,267.14,10
234.0,77,153,148,143,269.16,10
236.0,76,153,149,143,269.42,10
238.0,78,158,152,146,269.66,10
240.0,77,158,153,146,269.66,10
242.0,78,163,157,150,269.66,10
244.0,76,163,159,150,269.66,10
246.0,79,166,159,151,269.97,10
248.0,79,168,161,154,269.97,10
250.0,80,170,162,156,270.16,11
252.0,79,171,164,159,272.31,11
254.0,80,173,165,163,274.07,11
256.0,78,177,171,165,274.07,11
258.0,78,181,175,167,305.87,11
260.0,72,181,181,167,305.87,11
262.0,76,187,183,169,322.7,11
264.0,79,192,185,172,322.7,11
266.0,77,194,189,174,322.7,11
268.0,79,199,192,179,322.7,11
270.0,80,201,193,182,322.7,11
272.0,80,201,193,184,322.7,11
274.0,80,203,195,187,322.7,11
276.0,80,204,196,190,322.7,11
278.0,78,204,198,190,330.33,11
280.0,80,207,199,191,334.58,11
282.0,71,207,208,191,334.7,11
284.0,77,213,208,193,373.03,11
286.0,77,216,211,194,376.16,11
